,PGM_SYS_ACRNMS,PERMIT_TYPE,PERMID_ID,PRIMARY_NAME,LATITUDE83,LONGITUDE83,HUC_CODE,FRS_FACILITY_DETAIL_REPORT_URL
17991,NPDES:ORR10E534,NPDES,ORR10E534,KEIZER HOLIDAY INN EXPRESS & SUITES,45.009261,-122.996395,17090007,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069560656
17994,NPDES:ORR10D974,NPDES,ORR10D974,KEIZER STATION AREA  C,45.00461,-123.0051,17090007,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069574794
18047,NPDES:ORR10F629,NPDES,ORR10F629,MCNARY RENOVATION AND ADDITION,44.99699,-123.03356,17090007,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070628381
18055,NPDES:ORR10D925,NPDES,ORR10D925,MISTY MEADOWS,45.031828,-123.01247,17090007,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069585988
18105,NPDES:ORR10F192,NPDES,ORR10F192,SUMMERVIEW ESTATES,45.002,-123.007,17090007,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070227231
18118,NPDES:ORR10E356,NPDES,ORR10E356,VERDA LANE AT CHEMAWA ROAD,44.99753,-123.01251,17090007,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069601568
18120,NPDES:ORR10F344,NPDES,ORR10F344,VOLCANO SOLAR FACILITY,45.0256,-122.9899,17090007,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070264538
18127,NPDES:ORR10D639,NPDES,ORR10D639,WINDSOR ISLAND SUBDIVISION,45.00133,-123.04656,17090007,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069598947
18170,NPDES:ORR10E414,NPDES,ORR10E414,KERBY LANDFILL CAP MAINTENANCE,42.21537,-123.62703,17100311,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069594086
18191,NPDES:ORR10F429,NPDES,ORR10F429,BULL MOUNTAIN TRUNK IMPROVEMENTS,45.3936,-122.8073,17090010,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070263281
18200,NPDES:ORR10D881,NPDES,ORR10D881,RIVER'S EDGE,45.3948,-122.8011,17090010,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069602638
18242,NPDES:ORR507031,NPDES,ORR507031,ALLIED WASTE SERVICES/REGIONAL DISPOSAL COMPANY,42.19104,-121.76887,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110066875162
18262,NPDES:ORU000356,NPDES,ORU000356,BAIR DAIRY,42.13349,-121.72818,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110011003252
18264,NPDES:ORU000287,NPDES,ORU000287,"BARNARD, BRUCE AND VICTORIA",42.23796,-121.78998,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110011004082
18285,NPDES:ORR10D371,NPDES,ORR10D371,BUCKRIDGE COMMUNITY,42.2473,-121.8461,18010203,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110066886935
18295,NPDES:ORR321728,NPDES,ORR321728,CAMPBELL PIT,42.13,-121.46,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069572359
18324,NPDES:ORR10D377,NPDES,ORR10D377,COMBINE CHURCH,42.1674,-121.7966,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069558749
18338,NPDES:ORR10F189,NPDES,ORR10F189,DOLLAR GENERAL - KLAMATH FALLS SOUTH,42.1125,-121.4821,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070229801
18340,NPDES:ORR227183,NPDES,ORR227183,DOWN RIVER LLC,42.1861,-121.7877,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110066922281
18362,NPDES:ORR10F669,NPDES,ORR10F669,"FAIRFIELD INN AND SUITES, KLAMATH FALLS",42.29973,-122.25265,17100307,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070626178
18371,NPDES:ORR10D642,NPDES,ORR10D642,FED EX GROUND - KLAMATH FALLS,42.1699,-121.7499,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110066879015
18418,NPDES:ORR10F398,NPDES,ORR10F398,HIDDEN VALLEY PHASE 2,42.2019,-121.6927,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070265156
18421,NPDES:ORU000001,NPDES,ORU000001,HOLLAND'S DAIRY INC,42.159342,-121.561202,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110006661656
18427,NPDES:ORR10D090,NPDES,ORR10D090,HOSANNA CHRISTIAN SCHOOL,42.17922,-121.73079,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069558703
18432,NPDES:ORR10F708,NPDES,ORR10F708,HWY 140/66 COMMERCIAL PROJECT,42.191118,-121.80436,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070627993
18457,NPDES:ORR10F319,NPDES,ORR10F319,KCPW TRUCK & SAND SHED,42.16773,-121.75941,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070264922
18489,NPDES:ORR10E074,NPDES,ORR10E074,KLAMATH COUNTY SCHOOL DISTRICT SUPPLEMENTAL BUS & EMPLOYEE PARKING,42.195642,-121.793736,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069605582
18503,NPDES:ORG257013,NPDES,ORG257013,KLAMATH FALLS GEOTHERMAL PUMP STATION,42.2278,-121.7725,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069566222
18508,NPDES:ORR507032,NPDES,ORR507032,KLAMATH FALLS OPERATIONS,42.20311,-121.78442,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069566357
18509,NPDES:ORR10E447,NPDES,ORR10E447,KLAMATH FALLS REPLACEMENT,42.2125,-121.7066,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069585997
18512,NPDES:ORR10E527,NPDES,ORR10E527,KLAMATH FALLS SUBARU,42.202178,-121.75715,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069587931
18535,NPDES:ORR322004,NPDES,ORR322004,KLAMATH PACIFIC COMPANY - SOUTH BALSAM PIT,42.1941,-121.8571,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069576408
18543,NPDES:ORR10F677,NPDES,ORR10F677,KLAMATH SMILES DENTAL CLINIC,42.21287,-121.750483,18010204,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070627009
